TEAM,year,average attendance
Colorado,2004,29595
Milwaukee,2004,25461
Texas,2004,31818
San Francisco,2004,40208
Cincinnati,2004,28237
Minnesota,2004,23597
Arizona,2004,31105
Baltimore,2004,34344
Cleveland,2004,22400
Chicago White Sox,2004,24437
Detroit,2004,23962
Pittsburgh,2004,21107
Tampa Bay,2004,16139
Kansas City,2004,21031
Miami,2004,22091
Oakland,2004,27179
Montreal,2004,9356
LA Dodgers,2003,38748
NY Yankees,2003,42785
San Diego,2003,25024
St. Louis,2003,35930
Atlanta,2003,30393
Philadelphia,2003,28973
Houston,2003,30299
Toronto,2003,22215
Chicago Cubs,2003,37032
Seattle,2003,40351
NY Mets,2003,28406
Boston,2003,33631
LA Angels,2003,37791
Colorado,2003,28815
Milwaukee,2003,20992
Texas,2003,25856
San Francisco,2003,40304
Cincinnati,2003,29077
Minnesota,2003,24024
Arizona,2003,34636
Baltimore,2003,30297
Cleveland,2003,21358
Chicago White Sox,2003,23945
Detroit,2003,17103
Pittsburgh,2003,20983
Tampa Bay,2003,13070
Kansas City,2003,22732
Miami,2003,16290
Oakland,2003,27365
Montreal,2003,12662
