location,year,population
"Boston, Massachusetts",2012,642955
"Detroit, Michigan",2012,700183
"Minneapolis, Minnesota",2012,392768
"Kansas, Missouri",2012,464595
"St. Louis, Missouri",2012,319416
"New York, New York",2012,8346693
"Cincinnati, Ohio",2012,296900
"Cleveland, Ohio",2012,391550
"Philadelphia, Pennsylvania",2012,1551824
"Pittsburgh, Pennsylvania",2012,306355
"Arlington, Texas",2012,375629
"Houston, Texas",2012,2161593
"Seattle, Washington",2012,635928
"Milwaukee, Wisconsin",2012,598569
"Phoenix, Arizona",2013,1526491
"Anaheim, California",2013,343832
"Los Angeles, California",2013,3881622
"Oakland, California",2013,406648
"San Diego, California",2013,1355320
"San Francisco, California",2013,839572
"Denver, Colorado",2013,649391
"Washington, District of Columbia",2013,650581
"Miami, Florida",2013,415661
"St. Petersburg, Florida",2013,248453
"Atlanta, Georgia",2013,453990
"Chicago, Illinois",2013,2725731
"Baltimore, Maryland",2013,622391
"Boston, Massachusetts",2013,653002
"Detroit, Michigan",2013,691868
"Minneapolis, Minnesota",2013,400070
"Kansas, Missouri",2013,467213
"St. Louis, Missouri",2013,318476
"New York, New York",2013,8396091
"Cincinnati, Ohio",2013,297905
"Cleveland, Ohio",2013,391792
"Philadelphia, Pennsylvania",2013,1558313
"Pittsburgh, Pennsylvania",2013,306902
"Arlington, Texas",2013,378950
"Houston, Texas",2013,2199391
"Seattle, Washington",2013,653588
"Milwaukee, Wisconsin",2013,599916
"Phoenix, Arizona",2014,1555445
"Anaheim, California",2014,344604
"Los Angeles, California",2014,3909901
"Oakland, California",2014,412901
"San Diego, California",2014,1375831
"San Francisco, California",2014,850750
"Denver, Colorado",2014,664582
"Washington, District of Columbia",2014,662328
"Miami, Florida",2014,425110
"St. Petersburg, Florida",2014,252225
"Atlanta, Georgia",2014,461154
"Chicago, Illinois",2014,2727066
"Baltimore, Maryland",2014,623587
"Boston, Massachusetts",2014,662855
"Detroit, Michigan",2014,682609
"Minneapolis, Minnesota",2014,407067
"Kansas, Missouri",2014,470629
"St. Louis, Missouri",2014,317399
"New York, New York",2014,8433806
"Cincinnati, Ohio",2014,298626
"Cleveland, Ohio",2014,390871
"Philadelphia, Pennsylvania",2014,1565460
"Pittsburgh, Pennsylvania",2014,305964
"Arlington, Texas",2014,382721
"Houston, Texas",2014,2241826
"Seattle, Washington",2014,670109
"Milwaukee, Wisconsin",2014,600664
"Phoenix, Arizona",2015,1583690
"Anaheim, California",2015,348251
"Los Angeles, California",2015,3938568
"Oakland, California",2015,418211
"San Diego, California",2015,1387323
"San Francisco, California",2015,863010
"Denver, Colorado",2015,683285
"Washington, District of Columbia",2015,675400
"Miami, Florida",2015,434738
"St. Petersburg, Florida",2015,255041
"Atlanta, Georgia",2015,468303
"Chicago, Illinois",2015,2724344
"Baltimore, Maryland",2015,622522
"Boston, Massachusetts",2015,670491
"Detroit, Michigan",2015,679410
"Minneapolis, Minnesota",2015,411030
"Kansas, Missouri",2015,475073
"St. Louis, Missouri",2015,316010
"New York, New York",2015,8463049
"Cincinnati, Ohio",2015,299439
"Cleveland, Ohio",2015,389244
"Philadelphia, Pennsylvania",2015,1571065
"Pittsburgh, Pennsylvania",2015,304070
"Arlington, Texas",2015,388728
"Houston, Texas",2015,2286908
"Seattle, Washington",2015,687386
"Milwaukee, Wisconsin",2015,600477
"Phoenix, Arizona",2016,1612199
"Anaheim, California",2016,350013
"Los Angeles, California",2016,3963226
"Oakland, California",2016,420947
"San Diego, California",2016,1402089
"San Francisco, California",2016,871512
"Denver, Colorado",2016,696159
"Washington, District of Columbia",2016,685815
"Miami, Florida",2016,449149
"St. Petersburg, Florida",2016,259266
"Atlanta, Georgia",2016,479174
"Chicago, Illinois",2016,2716723
"Baltimore, Maryland",2016,616226
"Boston, Massachusetts",2016,679848
"Detroit, Michigan",2016,677143
"Minneapolis, Minnesota",2016,415079
"Kansas, Missouri",2016,481670
"St. Louis, Missouri",2016,312633
"New York, New York",2016,8469153
"Cincinnati, Ohio",2016,299748
"Cleveland, Ohio",2016,387662
"Philadelphia, Pennsylvania",2016,1576051
"Pittsburgh, Pennsylvania",2016,304643
"Arlington, Texas",2016,394384
"Houston, Texas",2016,2309544
"Seattle, Washington",2016,709631
"Milwaukee, Wisconsin",2016,596996
"Phoenix, Arizona",2017,1633560
"Anaheim, California",2017,350476
"Los Angeles, California",2017,3975788
"Oakland, California",2017,424382
"San Diego, California",2017,1412621
"San Francisco, California",2017,878040
"Denver, Colorado",2017,704961
"Washington, District of Columbia",2017,694906
"Miami, Florida",2017,456617
"St. Petersburg, Florida",2017,262588
"Atlanta, Georgia",2017,491670
"Chicago, Illinois",2017,2711069
"Baltimore, Maryland",2017,610481
"Boston, Massachusetts",2017,687788
"Detroit, Michigan",2017,674631
"Minneapolis, Minnesota",2017,420925
"Kansas, Missouri",2017,488329
"St. Louis, Missouri",2017,308233
"New York, New York",2017,8437478
"Cincinnati, Ohio",2017,301587
"Cleveland, Ohio",2017,385252
"Philadelphia, Pennsylvania",2017,1580601
"Pittsburgh, Pennsylvania",2017,301494
"Arlington, Texas",2017,397173
"Houston, Texas",2017,2316750
"Seattle, Washington",2017,728661
"Milwaukee, Wisconsin",2017,593725
"Phoenix, Arizona",2018,1654675
"Anaheim, California",2018,350698
"Los Angeles, California",2018,3977596
"Oakland, California",2018,429056
"San Diego, California",2018,1421917
"San Francisco, California",2018,880696
"Denver, Colorado",2018,716265
"Washington, District of Columbia",2018,701547
"Miami, Florida",2018,462819
"St. Petersburg, Florida",2018,264466
"Atlanta, Georgia",2018,498183
"Chicago, Illinois",2018,2701423
"Baltimore, Maryland",2018,602443
"Boston, Massachusetts",2018,691147
"Detroit, Michigan",2018,672977
"Minneapolis, Minnesota",2018,424903
"Kansas, Missouri",2018,492012
"St. Louis, Missouri",2018,303419
"New York, New York",2018,8390081
"Cincinnati, Ohio",2018,302277
"Cleveland, Ohio",2018,383214
"Philadelphia, Pennsylvania",2018,1583592
